fdate,fundname,return
2004-03-31,ADAMS EXPRESS COMPANY,-0.4828668937596567
2004-06-30,ADAMS EXPRESS COMPANY,-1.066396962276866
2004-12-31,ADAMS EXPRESS COMPANY,4.892504224127755
2005-03-31,ADAMS EXPRESS COMPANY,-1.9858344813202904
2005-06-30,ADAMS EXPRESS COMPANY,-3.861377522632165
2005-12-31,ADAMS EXPRESS COMPANY,3.978362944992512
2006-03-31,ADAMS EXPRESS COMPANY,6.449990880147258
2006-06-30,ADAMS EXPRESS COMPANY,-0.16913970109742493
2006-12-31,ADAMS EXPRESS COMPANY,5.198977961118404
2000-03-31,ADHIA TWENTY FUND,-7.8062518477026295
2000-06-30,ADHIA TWENTY FUND,-0.25307929766850273
2000-12-31,ADHIA TWENTY FUND,-6.26305042511221
2001-03-31,ADHIA TWENTY FUND,-10.580402195584215
2001-06-30,ADHIA TWENTY FUND,2.8490028490028614
2001-12-31,ADHIA TWENTY FUND,-17.069960744064925
2002-03-31,ADHIA TWENTY FUND,9.611926591344073
2002-06-30,ADHIA TWENTY FUND,-24.996004849579922
2002-12-31,ADHIA TWENTY FUND,-4.055779035324952
2003-03-31,ADHIA TWENTY FUND,3.35315842770486
2003-06-30,ADHIA TWENTY FUND,19.442152548588197
2003-12-31,ADHIA TWENTY FUND,7.562122229684347
2004-03-31,ADHIA TWENTY FUND,-0.09617711481065352
2004-06-30,ADHIA TWENTY FUND,-6.899044135001178
2004-12-31,ADHIA TWENTY FUND,12.536560247167866
2005-03-31,ADHIA TWENTY FUND,17.182284082131797
2005-06-30,ADHIA TWENTY FUND,-5.780254141735965
2005-12-31,ADHIA TWENTY FUND,-3.423897828318509
2006-03-31,ADHIA TWENTY FUND,1.4075952442413209
2006-06-30,ADHIA TWENTY FUND,-4.743651173933886
2006-12-31,ADHIA TWENTY FUND,13.90373490945674
1999-06-30,ADVANCE CAP I BALANCED F,2.7499432764522713
1999-12-31,ADVANCE CAP I BALANCED F,11.95655984157382
2000-03-31,ADVANCE CAP I BALANCED F,-1.964266285569129
2000-06-30,ADVANCE CAP I BALANCED F,-5.038054491898465
2000-12-31,ADVANCE CAP I BALANCED F,-13.790842152063535
2001-03-31,ADVANCE CAP I BALANCED F,-17.12550563665304
2001-06-30,ADVANCE CAP I BALANCED F,11.783933366592047
2001-12-31,ADVANCE CAP I BALANCED F,-3.864167817752992
2002-03-31,ADVANCE CAP I BALANCED F,5.277684469180437
2002-06-30,ADVANCE CAP I BALANCED F,-14.840038473533365
2002-12-31,ADVANCE CAP I BALANCED F,-10.057758397344772
2003-03-31,ADVANCE CAP I BALANCED F,4.258382345912573
2003-06-30,ADVANCE CAP I BALANCED F,15.365008996705651
2003-12-31,ADVANCE CAP I BALANCED F,11.571269387471727
2004-03-31,ADVANCE CAP I BALANCED F,4.130053263886755
2004-06-30,ADVANCE CAP I BALANCED F,-1.3652585507847979
2004-12-31,ADVANCE CAP I BALANCED F,6.186576478311316
2005-03-31,ADVANCE CAP I BALANCED F,-3.2690998563081135
2005-06-30,ADVANCE CAP I BALANCED F,-2.3452707604656835
2005-12-31,ADVANCE CAP I BALANCED F,5.621261392821304
2006-03-31,ADVANCE CAP I BALANCED F,4.043393175488692
2006-06-30,ADVANCE CAP I BALANCED F,-5.809104964246279
2006-12-31,ADVANCE CAP I BALANCED F,8.64941378771508
1999-12-31,ADVANCE CAP I CORNERSTON,11.297047602318292
2000-03-31,ADVANCE CAP I CORNERSTON,-4.3490054074371285
2000-06-30,ADVANCE CAP I CORNERSTON,-9.626136259070808
2000-12-31,ADVANCE CAP I CORNERSTON,-25.84493994029956
2001-03-31,ADVANCE CAP I CORNERSTON,-18.38814524250636
2001-06-30,ADVANCE CAP I CORNERSTON,4.313195016567069
2001-12-31,ADVANCE CAP I CORNERSTON,-1.9327170351709828
2002-03-31,ADVANCE CAP I CORNERSTON,3.0060063502410586
2002-06-30,ADVANCE CAP I CORNERSTON,-19.910985801048238
2002-12-31,ADVANCE CAP I CORNERSTON,-3.94907113557348
2003-03-31,ADVANCE CAP I CORNERSTON,23.45007715427402
2003-06-30,ADVANCE CAP I CORNERSTON,15.618418636220593
2003-12-31,ADVANCE CAP I CORNERSTON,7.408033532534118
2004-03-31,ADVANCE CAP I CORNERSTON,2.9034359332026187
2004-06-30,ADVANCE CAP I CORNERSTON,-1.247136440120829
2004-12-31,ADVANCE CAP I CORNERSTON,1.4492636061320336
2005-03-31,ADVANCE CAP I CORNERSTON,-4.300208914085914
2005-06-30,ADVANCE CAP I CORNERSTON,-5.893109433063123
2005-12-31,ADVANCE CAP I CORNERSTON,16.434921020606108
2006-03-31,ADVANCE CAP I CORNERSTON,1.7488912931699327
2006-06-30,ADVANCE CAP I CORNERSTON,-1.2983206492629689
2006-12-31,ADVANCE CAP I CORNERSTON,10.25394906780382
1999-06-30,ADVANCE CAP I EQUITY GRO,3.429328490901523
1999-12-31,ADVANCE CAP I EQUITY GRO,29.07282072608732
2000-03-31,ADVANCE CAP I EQUITY GRO,-1.5647695651321472
2000-06-30,ADVANCE CAP I EQUITY GRO,-5.228247489639688
2000-12-31,ADVANCE CAP I EQUITY GRO,-24.280649821020635
2001-03-31,ADVANCE CAP I EQUITY GRO,-18.22373780876121
2001-06-30,ADVANCE CAP I EQUITY GRO,8.725467921681567
2001-12-31,ADVANCE CAP I EQUITY GRO,-3.7833188994417517
2002-03-31,ADVANCE CAP I EQUITY GRO,4.068072248088648
2002-06-30,ADVANCE CAP I EQUITY GRO,-17.198454143311128
2002-12-31,ADVANCE CAP I EQUITY GRO,-10.298876360654427
2003-03-31,ADVANCE CAP I EQUITY GRO,10.003612901845052
2003-06-30,ADVANCE CAP I EQUITY GRO,17.7953217114031
2003-12-31,ADVANCE CAP I EQUITY GRO,12.640956822266599
2004-03-31,ADVANCE CAP I EQUITY GRO,4.385950563633545
2004-06-30,ADVANCE CAP I EQUITY GRO,-0.445909973256836
2004-12-31,ADVANCE CAP I EQUITY GRO,9.515038256767717
2005-03-31,ADVANCE CAP I EQUITY GRO,-3.836972301833383
2005-06-30,ADVANCE CAP I EQUITY GRO,-2.788691684865484
2005-12-31,ADVANCE CAP I EQUITY GRO,5.833610850481833
2006-03-31,ADVANCE CAP I EQUITY GRO,4.940248263000252
2006-06-30,ADVANCE CAP I EQUITY GRO,-6.686377591127105
2006-12-31,ADVANCE CAP I EQUITY GRO,7.28539781992375
2000-03-31,ADVANTUS SER REAL ESTATE,3.647474325199948
2000-06-30,ADVANTUS SER REAL ESTATE,-1.8132459330658917
2000-12-31,ADVANTUS SER REAL ESTATE,8.110833354269776
2001-03-31,ADVANTUS SER REAL ESTATE,-5.334811621137028
2001-06-30,ADVANTUS SER REAL ESTATE,11.60979765463388
2001-12-31,ADVANTUS SER REAL ESTATE,-10.30888713572138
2002-03-31,ADVANTUS SER REAL ESTATE,12.73387567214673
2002-06-30,ADVANTUS SER REAL ESTATE,1.7956957056156786
2002-12-31,ADVANTUS SER REAL ESTATE,-17.325495304680313
2003-03-31,ADVANTUS SER REAL ESTATE,0.8474193054269935
2003-06-30,ADVANTUS SER REAL ESTATE,13.586585602564666
2003-12-31,ADVANTUS SER REAL ESTATE,4.025277517307126
2004-03-31,ADVANTUS SER REAL ESTATE,11.759385970131486
2004-06-30,ADVANTUS SER REAL ESTATE,-6.757715927677221
2004-12-31,ADVANTUS SER REAL ESTATE,24.776718677792132
2005-03-31,ADVANTUS SER REAL ESTATE,-16.345352058499245
2005-06-30,ADVANTUS SER REAL ESTATE,16.3370231133389
